category1,body
Academic,"
			
				In the Reversing Java: Part I, I’ve described the main structure of Java class file bytes. In this part, I’ll continue decompiling the HelloWorld example.

Again the bytes of compiled class files is inserted:

We have analyzed till constant pool. Each constant pool entry has the following structure:
cp_info {
u1 tag;
u1 info[];
}
The tag indicates what type of constant is the following constant and the info (length of info) depends of the tag type. List of allowed tags are:



Constant Type 
Value


CONSTANT_Class 
7


CONSTANT_Fieldref 
9


CONSTANT_Methodref 
10


CONSTANT_InterfaceMethodref 
11


CONSTANT_String 
8


CONSTANT_Integer 
3


CONSTANT_Float 
4


CONSTANT_Long 
5


CONSTANT_Double 
6


CONSTANT_NameAndType 
12


CONSTANT_Utf8 
1



Constant Pool (from [1] to [28]):
Constant Pool = cp
cp[1]: {tag = 0a} =>  CONSTANT_Methodref
The info[] of method ref contains four bytes for the method. Two bytes for class name and two bytes for name and type => class name: 00 06 (cp[6]), name and type: 00 0f (cp[15])
cp[2]: {tag = 09} => CONSTANT_Fieldref
info[] part is just like class ref => class name: 00 10 (cp[16]), name and type: 00 11 (cp[17])
cp[3]: {tag = 08} => CONSTANT_String 
info[] part has reference for string itself (two bytes). 00 12 means that the real string is in cp[18].
cp[4]: {tag = 0a} => CONSTANT_Methodref
class name: 00 13 (cp[19]), name and type: 00 14 (cp[20])
cp[5]: {tag = 07} => CONSTANT_Class
info[] part has two bytes indicating the class. 00 15 (cp[21])
cp[6]: {tag = 07} => CONSTANT_Class
00 16 (cp[22])
cp[7]: {tag = 01} => CONSTANT_Utf8
info[] part has two bytes indicating string length and the remaining length bytes is string itself encoded in UTF8. 00 06 => String has 6 bytes.
(next 6 bytes): 3c 69 6e 69 74 3e  => <init>
cp[8]: {tag = 01} => CONSTANT_Utf8
length: 00 03 (3)
String: 28 29 56 => ()V
cp[9]: {tag = 01} => CONSTANT_Utf8
length: 00 04 (4)
String: 43 6f 64 65 => Code
cp[10]: {tag = 01} => CONSTANT_Utf8
length: 00 0f (15)
String: 4c 69 6e 65 4e 75 6d 62 65 72 54 61 62 6c 65  => LineNumberTable
cp[11]: {tag = 01} => CONSTANT_Utf8
length: 00 04 (4)
String: 6d 61 69 6e => main
cp[12]: {tag = 01} => CONSTANT_Utf8
length: 00 16 (22)
String: 28 5b 4c 6a 61 76 61 2f 6c 61 6e 67 2f 53 74 72 69 6e 67 3b 29 56  => ([Ljava/lang/String;)V
cp[13]: {tag = 01} => CONSTANT_Utf8
length: 00 0a (10)
String: 53 6f 75 72 63 65 46 69 6c 65  => SourceFile

cp[14]: {tag = 01} => CONSTANT_Utf8
length: 00 0f (15)
String: 48 65 6c 6c 6f 57 6f 72 6c 64 2e 6a 61 76 61 => HelloWorld.java
cp[15]: {tag = 0c} => CONSTANT_NameAndType 
info[] has four bytes, two for name two for descriptor:

name: 00 07 (cp[07]), descriptor: 00 08 (cp[08])
cp[16]: {tag = 07} => CONSTANT_ClassInfo
class name: 00 17 (cp[23])
cp[17]: {tag = 0c} => CONSTANT_NameAndType
name: 00 18 (cp[24]), descriptor: 00 19 (cp[25])
cp[18]: {tag = 01} => CONSTANT_Utf8
length: 00 0c (12)
String: 48 65 6c 6c 6f 20 57 6f 72 6c 64 21  => Hello World!
cp[19]: {tag = 07} => CONSTANT_ClassInfo
class name: 00 1a (cp[26])
cp[20]: {tag = 0c} => CONSTANT_NameAndType
name: 00 1b (cp[27]), descriptor: 00 1c (cp[28])
cp[21]: {tag = 01} => CONSTANT_Utf8
length: 00 0a (10)
String: 48 65 6c 6c 6f 57 6f 72 6c 64  => HelloWorld
cp[22]: {tag = 01} => CONSTANT_Utf8
length: 00 10 (16)
String: 01 20 10 6a 61 76 61 2f 6c 61 6e 67 2f 53 79 73 => java/lang/Object
cp[23]: {tag = 01} => CONSTANT_Utf8
length: 00 10 (16)
String: 6a 61 76 61 2f 6c 61 6e 67 2f 53 79 73 74 65 6d  => java/lang/System
cp[24]: {tag = 01} => CONSTANT_Utf8
length: 00 03 (03)
String: 6f 75 74  => out
cp[25]: {tag = 01} => CONSTANT_Utf8
length: 00 15 (21)
String: 4c 6a 61 76 61 2f 69 6f 2f 50 72 69 6e 74 53 74 72 65 61 6d 3b  => Ljava/io/PrintStream;
cp[26]: {tag = 01} => CONSTANT_Utf8
length: 00 13 (19)
String: 6a 61 76 61 2f 69 6f 2f 50 72 69 6e 74 53 74 72 65 61 6d => java/io/PrintStream;
cp[27]: {tag = 01} => CONSTANT_Utf8
length: 00 07 (07)
String: 70 72 69 6e 74 6c 6e  => println
cp[28]: {tag = 01} => CONSTANT_Utf8
length: 00 15 (21)
String: 28 4c 6a 61 76 61 2f 6c 61 6e 67 2f 53 74 72 69 6e 67 3b 29 56  => (Ljava/lang/String;)V
The above fields were constant fields in a simple java class. The remaining bytes will be discussed in the next tutorial.
For more information you may refer to:
[1] https://docs.oracle.com/javase/specs/jvms/se8/jvms8.pdf
[2] https://docs.oracle.com/javase/specs/jvms/se7/jvms7.pdf
[3] http://se.inf.ethz.ch/old/teaching/ss2007/0284/Slides/Lect9-2.pdf
You can Read the rest of this article in reversing-java-part-iii.
			
		"
Personal,"
			
				I am Urmia Lake
You may support Urmia Lake campaign by signing the following petition.
 
Or sign it through this link.
			
		"
Academic,"
			
				In the previous tutorials, I’ve described the simple Java byte code structure and stated to reverse a simple Hello World Java application. In this tutorial, I will describe the remaining parts of the class file.
Access Flags
The next byte after constant pool is Access Flag. First two bytes (00 21) shows that this class is super+ public.
List of access flags is attached below:


This Class and Super Class
Next two bytes are this class (00 05) and the followed two bytes are super class (00 06). Which means that cp[05] is this class (HelloWorld) and cp[06] is super class (<java/lang/Object>). You may check previous article about reversing java for constant pool entries.
Interfaces
The next two bytes after, are interfaces count which shows the number of interfaces which are implemented in this class. Thus the simple Hello World does not implement any interfaces, number of interfaces is 0 (00 00).
Fields
The next two bytes after, are fields count which shows the number of  fields which are used in this class. Thus the simple Hello World does not have any field, number of interfaces is 0 (00 00). As a note, fields are variables that are defined inside class structure and are accessible through all class members.

class test {
public String fieldString = ""A Simple field variable"";
public test() {
}
}

Methods
The next two bytes shows the methods count (00 02). Here we have two methods which follows method info structure:

First Method
We start to analyze the bytes of the first method.
00 01 => Access Flag => public
00 07 => Name Index (cp[07]) => <init>
00 08 => Descriptor Index (cp[08]) => ()V (means void)
00 01 => Attribute Count (1)
Attribute Info:
00 09 => Attribute Name Index (cp[09]) => Code
00 00 00 1d => Code Length (Code attribute followed by four bytes indicating code length, thus java class can have maximum FF FF FF FF = 4,294,967,295 lines of code!) => 29
00 01 => Maximum Stack Depth => 1
00 01 => Maximum Local Variables => 1
00 00 00 05 => Code Length => 5
Byte Codes (next 5 bytes):
2a b7 00 01 b1 (Check Java bytecode instruction listings for byte codes table):
2a => aload_0
b7 00 01 => invokespecial cp[01] => invokespecial java/lang/Object/<init>()V
b1 => return
Next LineNumberTable attribute is parsed:

00 00 00 01 => 1 Line Table
00 0a => Name Index (cp[10]) => LineNumberTable
00 00 00 06 => Attribute Length => 6
00 01 => Line Number Table Lenght => 1
00 00 => start pc => 0
00 01 => Line Number => 1

Second Method
00 09 => Attribute Name Index (cp[09]) => Code
00 0b => Name (cp[11]) => <main>
00 0c => Descriptor (cp[12]) => ([Ljava/lang/String;)V
00 01 => Access Flag => public static
00 09 => Attribute Name Index (cp[9]) => Code
00 00 00 25 => Code Length => 37
00 02 => Maximum Stack Depth => 2
00 01 => Maximum Local Variables => 1
00 00 00 09 => Code Length => 9
Byte Codes (next 9 bytes):
b2 00 02 12 03 b6 00 04 b1 (Check the same link at the above for byte codes table):
getstatic cp[2] => java/lang/System/out Ljava/io/PrintStream;
ldc cp[3] => Hello World!
invokevirtual cp[4] => java/io/PrintStream/println(Ljava/lang/String;)V
return
00 00 00 01 => 1 Line Table
00 0a => Name Index (cp[10]) => LineNumberTable
00 00 00 0a => Attribute Length => 10
00 02 => Line Number Table Lenght => 2
Number 1:
00 00 => start pc => 0
00 03 => Line Number => 3
Number 2:
00 08 => start pc => 8
00 04 => Line Number => 4
Attributes
Remaining bytes are attributes of this class file. first two bytes are attributes count which is obviously 1 (00 01).
00 0d => Attribute Name Index (cp[13]) => SourceFile
00 00 00 02 => Length => 2
00 0e => Source File Name Index (cp[14]) => HelloWorld.java
The last two bytes (00 0e = cp[14]) shws the source file which is compiled to this class file.
Conclusion
A simple java Hello World example is compiled and reversed through the 3 part tutorial. You may use external tools to view (or edit) class files. Some useful tools are:
JD-GUI
Java ByteCode Editor
Also the class file is attached: Hello World.class
			
		"
Academic,"
			
				In this tutorial I want to write about using Apache Spark on Ubuntu machines where you can develop big data analysis apps with it.
First of all, I want to write a small and quick introduction to Hadoop + Spark environment. Hadoop makes it possible to work with lots of computers in a cluster. Work can be: storing files in cluster (HDFS – Hadoop Distributed File System), storing database in cluster (Apache HBase), or run software in cluster (MapReduce, Spark).

In Hadoop there is a master node who controls clients inside clusters and partition the data between them.
I do not want to talk about how to configure Hadoop + Spark in Linux. There is a nice tutorial which I followed and configured two machines (1 master + 1 slave). Here is the link. Thanks to Sumit Chawla.
Firstly I’ve configures my master node: Ubuntu 14.04 + Java Oracle 8 + Virtual Box

After that I’ve created my slave01 node which was a clone of master node. There is a good tutorial on how to clone virtual machines using VirtualBox in this link. Actually I’ve changed some configuration in slave including user name and display name. Here is a screenshot of slave01:

After that it is time to start HDFS + YARN + SPARK in master node. Commands are here:<br /><br />

$HADOOP_HOME$/sbin/start-dfs.sh
$HADOOP_HOME$/sbin/start-yarn.sh

And finally start Spark:
$SPARK_HOME$/sbin/start-all.sh

And control in both master and slave01 that daemons are running using jsp:

Everything is OK. You can check the spark WebUI in http://127.0.0.1:8080 and HDFS in http://127.0.0.1:50070 from master node.

I showed master with m and slave node with s [ It seems to be s 🙂 ]

It is time to programming. The main concept in MapReduce or Spark programming is (key, value). The main jobs is to read data from file (or HDFS) line by line. Process the lines by Map and create 0 or 1 or many (key, value) pairs. Hadoop will collect and sort the pairs with same key and give them to Reducer. Now reducer can decide what to do with the values. In the popular example of word count, the reducer sums all 1s to produce the word count.
 
I’ve developed with Java. I’ve installed Netbeans on master node and added libraries for Spark programming from $SPARK_HOME$/jars directory.
/**
* private static void cooccurenceCount(String inputFile, String outputFile) {
*       // Define a configuration to use to interact with Spark
*       SparkConf conf = new SparkConf().setAppName(""Cooccurence Count App"");
*
*        // Create a Java version of the Spark Context from the configuration
*        JavaSparkContext sc = new JavaSparkContext(conf);
*
*        // Load the input data, which is a text file read from the command line
*        JavaRDD<String> input = sc.textFile(inputFile);
*
*        // Java 8 with lambdas: split the input string into words
*        JavaRDD<String> words = input.flatMap((String t) -> {
*            JSONObject jobj = new JSONObject(t);
*            String text = String.valueOf(jobj.get(""Text""));
*            String[] outputString = new String[text.split("" "").length * (text.split("" "").length - 1)];
*            
*            int counter = 0;
*            
*            for (int i = 0; i < text.split("" "").length; i++) {
*                for (int j = i + 1; j < text.split("" "").length; j++) {
*                    outputString[counter++] = text.split("" "")[i] + "":"" + text.split("" "")[j];
*                }
*            }
*            return Arrays.asList(outputString).iterator();
*        });
*
*        // Java 8 with lambdas: transform the collection of words into pairs (word and 1) and then count them
*        JavaPairRDD<String, Integer> counts = words.mapToPair(t -> new Tuple2(t,1)).reduceByKey((x, y) -> (int)x + (int)y);
*
*        // Save the word count back out to a text file, causing evaluation.
*        counts.saveAsTextFile(outputFile);
*    }
 */
In the code above, I have parsed the data which is read from HDFS line by line and parsed JSON. Here is a part of my input file:

After that I create pairs of each tweet by its words to find their sequential co-occurrence. For example for the last tweet seen in the above:
(employs:people,1)
(employs:green,1)
(employs:nationality,1)
(people:green,1)
(people:nationality,1)
(green:nationality,1)
 
After compiling the source code to jar, I’ve copied the jar file on all machines (/tmp/tmp/TweetCount.jar) and start to mine them with the following command:
/**
 * ./spark-submit --master spark://master:6066 --deploy-mode cluster /tmp/tmp/TweetCount.jar hdfs://master:9000/test/data.txt hdfs://master:9000/test/output_Twitter_COOCCURENCE/
 */
And vola! Everything is OK and after executing, output is in HDFS /test/output_Twitter_COOCCURENCE.

The output of a sample file (part-00002) is displayed below:

			
		"
Personal,"
			
				I was working on my PhD. thesis and calculating the semantic similarities of words which is very heavy and take hours to response!
Recently I was interested to have a pocket size Quran. I have used Zekr before, but it is not so pocket size!

So I have downloaded Quran Persian translation text from Tanzil and start a small, pocket size Quran based on Skeleton.
A simple screen shot is available.
Holy Quran
The project is in my GitHub at this link.
			
		"
Academic,"
			
				I’ve met 2048 game many years ago. It is an addictive game witch takes lots of time from the player. 🙁
So what should I do if I want to have high score and save time? Here is where Smali takes part. 🙂
In this post I will describe how to inject into Android 2048 game and change the score!In the “Smali Code Injection” I describes how to inject into Android APK. The steps is like previous post but finding where to inject is the problem.
First of all I’ve downloaded 2048 APK and get Smali code with apktool.

Then I should find where the logic of the game is (the class and method). If the application is not obfuscated, you can use online tools such as Java Decompilers. Or you can use DEX2JAR and JDGUI.
If the application is obfuscated you should put some debug information in beginning of every method and trace the execution logic.
Fortunately 2048 was not obfuscated. So I’ve looked the logic and find where the score is changed.
  The code above is where new button created (2 or 4).

this.grid[x][y] = 4;
} else {
this.grid[x][y] = MOVE_3;
And finding the Smali code is the next step.
    
The point is that v10 contains the number 4. v9 contains 2 (in the ELSE section). v9 changed from const/4 v9, 0x2 to const/16 v9, 0x400 (0x400 = 1024). This is the good one because v9 is not reused after assignment. But unfortunately v10 assigned in the first lines of method and used before aput v10, v8, v6.
So I’ve added a new variable (v11) and assigned the value of the first lines to it. And changed the locas from 11 to 12.
So after creating APK and signing it with your certificate, the APK is ready to be installed. (if you are not familiar with signing and repacking, check previous post).
The screen shots of the new injected application are here:
 
I’ve uploaded both the APKs here. You may download and use them.
2048 Game [Main].apk
2048 Game [Injected].apk



			
		"
Personal,"
			
				After dealing with the old site, I’ve decided to reform my blog to this site. 🙂
The old UUTElgg is closed.
			
		"
AndroJava,"
			
				I hardly play the dino game which is created by Google and is available in Chrome browser for playing while there is no Internet connection. But the game itself is popular and can be found in different platforms. Recently I’ve changed two of them and now cacti and birds are ineffective.
Simple JavaScript Running T-Rex Version
There are lots of free versions of the game. Take Running T-Rex for example. The java script code is pretty formatted and ready to be deactivated!
Dino 1
Medium Android Running T-Rex Version
I’ve faced with an Android version of the game. So started to find where the game finishes. Based on JADX decompiler, the following code was the main part of detecting game over.
Dino 2
Based on Smali Code Injection techniques, I’ve deactivated the functions. Now the Dino can run freely both in JavaScript and Android!
Dino JavaScript (Click to see the animated GIF version):
Dino JavaScript
Dino Android (Click to see the animated GIF version):
Dino Android
			
		"
AndroJava,"
			
				Ilam CTF has been hold on 23rd Nov 2018. Unfortunately I’ve planned other things for 22-23 Nov 2018 and because of the delay in holding the CTF, I couldn’t attend this CTF.
However, I could download the Android Reverse question for future analysis. And the flag is here:
ilam_ctf_0a095194dbcf4f798751aaafdfb_1db6b2ed339f4698b6b38b5e7ae
But the WriteUP!

Start to Android Reverse WriteUp
I’ve installed it on an emulator and the application crashed.
IlamCTF 1
I’ve analyzed the crash logs and found an arithmetic exception at MainActivity:
IlamCTF 2
Using APK Studio and JADx I’ve found and fixed the division be zero which was put in the code.
IlamCTF 3
After that I’ve found that the key was hidden in some functions, in which they are playing with an initial String (aWxhbV9jdGZfM).
IlamCTF 4
Analysis
Then I just copied the code of functions to my Java editor and started to play with them.
IlamCTF 5
The result was something like this:
IlamCTF 6
As you see, the results from f3 start to change in characters. I mean, they all looks like base64 till f3 but then, they change to something odd.
I’ve checked the functions. All the functions change a part of input string and add a new part to it. I though that it was an encrypted string but I did not found any cryptographic function call or even dynamic call inside the code. Then the Key should be Base64 Encoded!
The Flag
As a simple test, I just put the parts together and decoded them.
Voila. The flag was in there:
IlamCTF 7
There was just a point. They have added an extra part to the base64 encoded text which I removed it. You can find the extra part at Yoyo.yo function which ends with an arithmetic exception.
Therefore, the flag is:
ilam_ctf_0a095194dbcf4f798751aaafdfb_1db6b2ed339f4698b6b38b5e7ae
The original APK is attached here for who may interest.
Download Ilam CTF Android Reverse APK
			
		"
Media,"
			
				I’ve posted about creating a media home system using Kodi sometimes ago.
After that I configured Kodi on my Laptop and Smart phone which they use the same database shared in home network.
Now, with the help of a small TV card, I’ve added live TV feature to the whole media home.

Media Home
I download and save the movies, TV series and musics to my Home LAN which can be shared over the Home Network. For this aim, I use a NAS server attached to my Home LAN. Previously, I’ve wrote about creating a media home system using Kodi. Now I added the Live TV feature which DOES NOT USE INTERNET for watching Digital TV. Following is a picture of a small part of Home LAN.
Home LAN [NAS Server]
Installing TV card
One of the ways is that to use Windows to decode the digital TV signals and share on the network. NextPVR did a well job on that. You can use the sharing server in Windows and receive the decoded stream in any attached Kodi client. But for my TV card, NextPVR cannot detect it in Windows 10. It is related to the drivers which are not compatible. So Linux helps everywhere.
Kodi 2
Using Linux as Decoder
Ubuntu Linux detected automatically my TV card and mount it at: /dev/dvb/adapter0/frontend0
First of all I tried to use it on Linux to test if it is working or not. I used MeTV as the client. The result was successful.
MeTV player
Setup the Streamer
The next step was to find a streamer server which has a client in Kodi too. With a small search I found VDR tool. The next steps are very straight. VDR VNSI was the tool I installed. The steps I’ve followed was from Kodi Help Center.
Final Step
Final step was the installation of VDR VNSI addon in every Kodi client I had. In the configuration I just entered the IP address of VDR server. Everything is OK. The TV and Radio ability is added to Kodi.
I just recorded a video of all features I’ve added to Kodi.

			
		"
Conference,"
			
				
I recently had a talk about BitCoin and mainly BlockChain technology at Application of New Generation Technologies Session which was held on 7 Dec 2018 in Urmia.







Topics Around BitCoin and BlockChain



I started my talk by introducing myself and how I met the Anonymity Networks, BitCoin and BlockChain technologies. The main reason was the Operation Onymous. 



My talk was made up of two parts: BitCoin which I did not talked in details and the BlockChain which I was talked a bit more with some details.



The talk continued about the attacks, which distributed networks are faced with, 



The slides can be found on SlideShare and the video is here:






			
		"
Anonymity Networks,"
			
				
In a “Socks Rocks! The Good, The Bad and The Ugly” post, I wrote about configuring OpenVPN, TOR and Proxifier in order to hide the real IP and use web sites such as Google which do not allow lots of services for TOR exit nodes.



Literally, the ugly is removed from the previous post and openvpn directly connects to socks.







The Problem



When using the Internet, one may want to use TOR for surfing the net. The problem arise here where some sites block access to the site from the TOR network, more specifically they block the IP addresses of the EXIT Nodes, sites such as Google or CloudFlare or (optionally) BlockChain Wallet.



Previous Solution



Previously, I published a post about how to configure proxychains to tunnel the traffic between client (PC) and VPN Server (openvpn). Proxychains is a tunneling software for flowing the traffic through proxy servers; in this case TOR socks address where the TOR runs. Usually this address is 127.0.0.1:9050 or 127.0.0.1:9150.



The Problem with ProxyChains



I have faced connection problems where if for some times you do not use the Internet, proxychains will disconnect the traffic between PC and openvpn server. For solving this problem I made an infinitive ping request, so the connection is alive all the time.



Better Socks Rocks



A better solution I’ve found recently is the built-in support of proxifying connection in openvpn client. But you should use the default client, not the limited ones that published by others.



The following pictures shows the Settings in openvpn and the configuration for using TOR.



OpenVPN Settings



Proxy Settings in OpenVPN Client



OpenVPN connects to TOR socks port.



Result



If you want to use TOR but do not want to get restricted connection, you can connect to openvpn server through TOR Socks5 proxy. Now your real IP is hidden from openvpn server (and the sites you visit them) but the exit node is not TOR but it is OpenVPN.



It is reasonable to got an increase in reply time of packets. As an example I get 300-400 ms time in pinging 8.8.8.8
			
		"
Anonymity Networks,"
			
				
In this post, I will talk about configuring an Email server which is accessible using TOR. Using TOR will make its IP to be hidden, also accessible if it is behind NAT (inside a home computer without a public IP). But the main question is why one should use this kind of scenario?



Many people may not trust messaging services such as Telegram or WhatsApp but want to have their own private communication system. In this tutorial, you can run your own mail server in your home LAN and access it through Internet without spending money for public IP or VPS.



For the email server part, I will use hMailServer, an open source email server developed for windows.







Installing Email Server



hMailServer is a straight forward email server with built-in SQL Server.  I’ve installed it and shared the screen shots below.



hMailServer Installation Process 1 hMailServer Installation Process 2 hMailServer Installation Process  3 hMailServer Installation Process 4 hMailServer Installation Process 5 hMailServer Installation Process 6 hMailServer Installation Process 7 hMailServer Installation Process 8 hMailServer Installation Process 9 hMailServer Installation Process 10



Configuring Email Server



In this section, I configure the hMailServer with the following configuration:



Creating a self-signed certificate (for IMAPs and SMTPs) SMTP with SSL/TLS (port 465)IMAP with SSL/TLS (port 993)Disabling hMailServer access to Internet (Only has access to 127.0.0.1)Creating a fake domain (tajbakhsh.fake) for email accounts



 Creating a self-signed certificate 



Using  IBM Knowledge Center , you can create certificate and private key which will be used in hMailServer:



openssl req -newkey rsa:4096 -nodes -keyout key.pem -x509 -days 3650 -out certificate.pem



Adding Certificates to hMailServer



SMTPs and IMAPs



The configuration for ports, certificate and protocols are depicted below.



Configuring SMTPConfiguring IMAP



Disabling hMailServer Access



You may follow wikihow for disabling a program (hMailServer.exe) from accessing the Internet. Just add an Outbound rule for hMailServer.exe and select block in connection section.



Firewall #1 Firewall #2 Firewall #3



Creating Fake Domain



The Email server is accessible only in the LAN (but from Hidden Service of TOR), therefore domain is not important, but hMailServer needs for distinguish between the users. Therefore I added tajbkahsh.fake as the domain of Email server.



Adding Domain #1Adding Domain #2Email Account #1Email Account #2



Configuring Hidden Service



As I described before in “Control your home IoT” post, you can run a hidden service. In this scenario, there is one onion address with two ports: One for IMAPs and the other for SMTPs. The configuration are below:



torrc fileAdding ports to torrcAfter running TOR, the address can be found in Hidden directory



Conclusion



In this post, I’ve configured hMailServer as email server behind TOR as a hidden email service. In the next post, I will describe how to connect to this hidden service from PCs.
			
		"
Anonymity Networks,"
			
				
In the previous post, I’ve talked about configuring a hidden email server using hMailServer. In this post I will talk about how to access this hidden Email server. I’m using ThunderBird as email client, tajbakhsh.fake as the fake domain of email server (and accounts), two users ([email protected] and [email protected]).



During all the processes, I assume that the email server is configured as previous post and client has access to the TOR network.







Installing ThunderBird



ThunderBird installation is straight forward. Just download the binary from  ThunderBird  and start installation process. The next step is the installation of TorBirdy addon for ThunderBird which allows to tunnel the traffic of ThunderBird through a SOCKS proxy. The installation steps are depicted in the following pictures:







If you need further information about addon installation process, please refer to Mozillazine.



Configuring Addresses



After installing TorBirdy and adding a new email address, you should configure the correct onion addresses for the ThunderBird from Tools -> Accounts section. For the IMAP and SMTP section, add the onion address of the hidden email server which is generated previously.







If you want to more configure TorBirdy, just click the Green text in the right (below) corner of the ThunderBird.







at the end, Connecting to The Hidden Email Server



After setting the onion addresses, the connection process can be start by just clicking Inbox icon in the newly configured email address.







Same process should be taken to send an email. Beside, I took hMailServer logs beside ThunderBird to show the connection logs inside hMailServer.




			
		"
Anonymity Networks,"
			
				
My project as Onion Harvester is accepted in OFFSECONF 2019. Onion Harvester is one of the projects I’m working on it partly. I give a brief presentation about working mechanism of TOR Network and talked about hidden services.







After that, I talked about computations and resources needed in order to find all the addresses.



I uploaded the video to My YouTube channel and here are some of the photos.







The video is here:





Onion Harvester
			
		"
Anonymity Networks,"
			
				
I notified that the exit node IP address in the TOR browser is not the real exit node IP. Then I started to drive the mystery machine for investigating the case. Real IP! Where are you?







Motivation for Scooby Tor!



Someone in Twitter asked me an interesting question which I wasn’t noticed before. The question was:



Why the IP address which is shown in whoer is not same as the exit node which is shown in TOR Browser?!Shadow



Therefore I started to investigate the cause which was very interesting.



I think this problem has a similar situation of the Scooby Doo series. There is an unknown subject (the IP address displayed in whoer), the bad guy behind the ghost mask (the IP address shown in TOR Browser) and the clues!



The Question



In the first step, I myself checked the case in order to see the task and verified. I tested with whoer and whatismyip. The results are the same.







The Steps



We now faced the ghost! and Scooby started to fear of the case. But with the help of Velma, they started to collect the clues.



The first think that I did, was finding the exit nodes of Tor in other way. I connected to TOR control port using telnet, but I had to define a password for connecting to it.



Adding Password to TOR Control Port



Using the following command, one can generate a hashed password for TOR:



tor --hash-password password > pass.txt



Then enter the VALUE inside pass.txt to the TOR config file, torrc which is inside the TOR Browser folder if you’re using windows or in /etc/tor if you’re using *nix systems, as the following:



HashedControlPassword VALUE



The VALUE is something like 16:HASHEDVALUE. Now you can restart TOR and connect to TOR control port or use the charming python script in order to display the list of exit nodes. Credits go to TOR stack exchange. But I’ve changed some parameters:



First of all changed the control port from 9051 to 9151 which is the default port for TOR control port.Then added my password to the authenticate() functions.Run the script



All the things are OK. The ghost IP address is changed but you can see the list of exit nodes. Here is the proof:







Therefore, TOR creates multi circuits and use them as the connection manager. But the circuit which is used for displaying the exit node to the user may not be the same as real exit IP address.
			
		"
AndroJava,"
			
				
 My Contribution in K9 Android Mail Client 



My Contribution in K9 Android Mail Client



K-9 is an attractive, open-source email client for Android with support of IMAP, POP3, SMTP, and exchange protocols. Hence, this client does not support proxy feature. This problem is referenced in #704 #980 #2619. In this post I will talk about my contribution in K-9 project by adding SOCKs proxy feature, which can be used for connecting hidden mail services.



In previous post, I described about connecting Thunderbird, an open source email client for PC, to a hidden mail service. In this post I will talk about modifying K-9 mail and connecting Android client to the hidden mail service.







Problem Definition



Despite K-9 mail client is very powerful, it does not support SOCKs proxy feature. SOCKs proxy can be used for accessing the Internet in some special cases such as in schools, universities, or accessing TOR network.



By adding SOCKs proxy, one can connect to hidden mail services or to normal mail services by hiding his real IP address.



My Solution



I have worked with TOR hidden network and programming sockets in order to be connected through TOR network. You may check my answer in TOR stack exchange.



Therefore I just forked K-9 mail project into Mr Tajbakhsh github and worked on adding SOCKs proxy feature. I added a user interface part and modified the main connection source code.



Modifications



You can check the full list of modifications in github link. But there are two parts: one for the UI and one for the connection part.



UI Part



app/core/src/main/java/com/fsck/k9/K9.java app/core/src/main/java/com/fsck/k9/preferences/GlobalSettings.java app/core/src/main/java/com/fsck/k9/preferences/Settings.java  app/ui/src/main/java/com/fsck/k9/ui/settings/general/GeneralSettingsDataStore.kt  app/ui/src/main/res/values/strings.xml  app/ui/src/main/res/xml/general_settings.xml 



Connection Part



 mail/protocols/imap/src/main/java/com/fsck/k9/mail/store/imap/ImapConnection.java  mail/protocols/pop3/src/main/java/com/fsck/k9/mail/store/pop3/Pop3Connection.java  mail/protocols/smtp/src/main/java/com/fsck/k9/mail/transport/smtp/SmtpTransport.java  mail/protocols/webdav/src/main/java/com/fsck/k9/mail/store/webdav/WebDavStore.java



Connecting to Hidden Mail Server



I previously configured a hidden mail server using TOR and hMailServer. In another post, I described about connecting to the configured hidden mail server using Thunderbird.



Step 1: Generating The SOCKs Supported APK



The generation of APK is out of scope of this post, but generally you can fork the code from my Github repository and import it to Android Studio to get an APK.



Compiling K-9 mail client with SOCKs proxy support



Step 2: Installing TOR on Android



This step is straight forward. Just install TOR from Google Play and run it.







Step 3: Install and Configure K-9 With SOCKs Support



After compiling K-9 with SOCKs support, you can add email accounts based on Hidden mail server.







Every thing is done. Just start TOR in your Android phone and check SOCKs proxy in K-9 Network Configuration which added.



Conclusion



I added SOCKs proxy feature to K-9, the powerful and open source email client in Android. By using this feature, one can be connect to the email accounts if is behind SOCKs proxy or can be used in order to make a connect to hidden mail service. Enjoy!
			
		"
